epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.235,0.85631,3.83552,1.352,0.01236,0.77081,0.03477,0.02371,1.06356,3.70084,1.64603,0.0670363,0.000332967,0.000332967
2,387.716,0.89866,3.18789,1.36962,0.25542,0.18901,0.07016,0.04883,1.03796,3.22863,1.58184,0.0340357,0.000665649,0.000665649
3,577.036,0.88449,2.9503,1.35325,0.26214,0.26006,0.11695,0.0861,0.8935,2.77438,1.42674,0.0010324,0.000995732,0.000995732
4,765.232,0.85885,2.77288,1.33246,0.27697,0.36134,0.21577,0.16721,0.7834,2.26855,1.33714,0.000991232,0.000991232,0.000991232
5,953.034,0.83129,2.62339,1.31055,0.25168,0.35461,0.19448,0.14886,0.80865,2.49946,1.35913,0.000984449,0.000984449,0.000984449
6,1140.64,0.80779,2.52588,1.29482,0.30233,0.41142,0.28641,0.2259,0.74018,2.08459,1.28795,0.000975773,0.000975773,0.000975773
7,1333.1,0.79222,2.42506,1.28266,0.28509,0.41855,0.314,0.25169,0.72066,2.06058,1.26428,0.000965239,0.000965239,0.000965239
8,1522.5,0.773,2.33141,1.26781,0.33996,0.4682,0.35939,0.29075,0.70068,1.91699,1.25694,0.000952889,0.000952889,0.000952889
9,1710.56,0.76389,2.25977,1.26077,0.35193,0.49726,0.40963,0.32985,0.69985,1.81022,1.26116,0.000938772,0.000938772,0.000938772
10,1898.12,0.75326,2.21222,1.25181,0.37289,0.50123,0.44227,0.35517,0.67897,1.71485,1.22724,0.000922942,0.000922942,0.000922942
11,2086.92,0.74467,2.134,1.24519,0.42667,0.53864,0.49072,0.4028,0.64484,1.56792,1.20078,0.000905463,0.000905463,0.000905463
12,2274.75,0.73618,2.07265,1.23934,0.40681,0.5257,0.47965,0.39599,0.64531,1.62431,1.18687,0.000886404,0.000886404,0.000886404
13,2462.13,0.72906,2.01897,1.23347,0.45645,0.55538,0.53146,0.43744,0.63022,1.47321,1.17695,0.000865839,0.000865839,0.000865839
14,2649.14,0.71488,1.98274,1.22464,0.46306,0.56009,0.53913,0.44678,0.61516,1.46847,1.16272,0.000843851,0.000843851,0.000843851
15,2837.35,0.71273,1.94301,1.22263,0.49196,0.57401,0.56612,0.47368,0.60747,1.42121,1.15125,0.000820525,0.000820525,0.000820525
16,3025.5,0.70317,1.90212,1.21575,0.51206,0.5904,0.58303,0.48911,0.60187,1.35612,1.14079,0.000795954,0.000795954,0.000795954
17,3213.4,0.69746,1.86807,1.21193,0.51182,0.61141,0.59475,0.5019,0.59301,1.33983,1.14961,0.000770234,0.000770234,0.000770234
18,3401.95,0.6893,1.8224,1.20525,0.5589,0.62085,0.63667,0.53483,0.58602,1.24418,1.13399,0.000743468,0.000743468,0.000743468
19,3590.33,0.68853,1.79601,1.20336,0.56932,0.60223,0.6351,0.53844,0.57547,1.21461,1.11864,0.000715761,0.000715761,0.000715761
20,3777.69,0.67917,1.76112,1.19749,0.56448,0.62986,0.65176,0.5532,0.5612,1.20609,1.11003,0.000687222,0.000687222,0.000687222
21,3966.12,0.67522,1.72287,1.19439,0.58356,0.64822,0.66842,0.56985,0.55261,1.14707,1.09738,0.000657963,0.000657963,0.000657963
22,4153.94,0.67051,1.69952,1.19202,0.59833,0.66388,0.68335,0.5827,0.55375,1.12409,1.09912,0.000628101,0.000628101,0.000628101
23,4341.57,0.65996,1.66813,1.18493,0.63156,0.65629,0.69352,0.59389,0.55136,1.09671,1.1001,0.000597754,0.000597754,0.000597754
24,4529.53,0.65623,1.64429,1.18242,0.64925,0.64564,0.70072,0.60221,0.54168,1.07588,1.09042,0.00056704,0.00056704,0.00056704
25,4716.65,0.65377,1.63043,1.18117,0.64472,0.66729,0.70968,0.61038,0.53787,1.06055,1.08503,0.000536081,0.000536081,0.000536081
26,4904.1,0.64306,1.58373,1.17155,0.66177,0.65417,0.71395,0.61752,0.5353,1.04198,1.0851,0.000505,0.000505,0.000505
27,5092.28,0.63036,1.56081,1.16532,0.66037,0.67867,0.72319,0.62787,0.52279,1.02253,1.07055,0.000473919,0.000473919,0.000473919
28,5279.82,0.63463,1.54336,1.16915,0.66722,0.67145,0.72521,0.63135,0.51423,1.00878,1.06005,0.00044296,0.00044296,0.00044296
29,5467.34,0.62595,1.51562,1.15953,0.67444,0.68402,0.73695,0.64257,0.51025,0.97782,1.0588,0.000412246,0.000412246,0.000412246
30,5655.11,0.62695,1.50001,1.16133,0.68509,0.68144,0.73902,0.64276,0.51422,0.97344,1.06177,0.000381899,0.000381899,0.000381899
31,5842.68,0.61641,1.45645,1.15183,0.6938,0.68666,0.74458,0.64896,0.51499,0.9567,1.06501,0.000352037,0.000352037,0.000352037
32,6029.6,0.61067,1.44854,1.15201,0.69138,0.68733,0.74869,0.65327,0.51141,0.94661,1.05617,0.000322778,0.000322778,0.000322778
33,6216.95,0.60824,1.43307,1.14944,0.69037,0.69685,0.75394,0.65945,0.50667,0.93253,1.05187,0.000294239,0.000294239,0.000294239
34,6403.98,0.6027,1.40949,1.14716,0.70439,0.70308,0.75917,0.66375,0.50205,0.92271,1.04966,0.000266532,0.000266532,0.000266532
35,6590.92,0.60275,1.39277,1.14586,0.71454,0.70532,0.76477,0.66846,0.50393,0.9165,1.04973,0.000239766,0.000239766,0.000239766
36,6778.4,0.5937,1.37527,1.13854,0.70724,0.71765,0.76659,0.67176,0.49874,0.91284,1.04529,0.000214046,0.000214046,0.000214046
37,6965.69,0.59066,1.35915,1.13577,0.71479,0.69946,0.76587,0.67238,0.49409,0.90818,1.04006,0.000189475,0.000189475,0.000189475
38,7152.99,0.58789,1.35062,1.13352,0.69324,0.72114,0.76674,0.67348,0.49258,0.89971,1.03885,0.000166149,0.000166149,0.000166149
39,7339.89,0.5827,1.32512,1.13113,0.70869,0.71379,0.76732,0.67407,0.49189,0.89901,1.03885,0.000144161,0.000144161,0.000144161
40,7527.3,0.58313,1.31175,1.13277,0.72005,0.70942,0.76804,0.6757,0.4915,0.89158,1.03956,0.000123596,0.000123596,0.000123596
41,7714.74,0.43835,0.82713,1.0647,0.71271,0.69407,0.76323,0.67054,0.49512,0.90207,1.04504,0.000104537,0.000104537,0.000104537
42,7900.57,0.42124,0.76979,1.05324,0.73976,0.68078,0.76734,0.67444,0.49065,0.89492,1.03904,8.70577e-05,8.70577e-05,8.70577e-05
43,8086.45,0.41478,0.7475,1.04725,0.73745,0.68422,0.77149,0.67793,0.48693,0.88471,1.03615,7.12282e-05,7.12282e-05,7.12282e-05
44,8272.42,0.40913,0.73326,1.04173,0.72944,0.69564,0.77142,0.68084,0.48517,0.88386,1.03492,5.71106e-05,5.71106e-05,5.71106e-05
45,8458.23,0.40737,0.72648,1.03837,0.72932,0.69501,0.77276,0.68185,0.48273,0.8804,1.03338,4.47606e-05,4.47606e-05,4.47606e-05
46,8644.28,0.40358,0.70905,1.0345,0.72622,0.70267,0.77385,0.68277,0.48267,0.87463,1.03344,3.4227e-05,3.4227e-05,3.4227e-05
47,8830.15,0.40417,0.70579,1.0355,0.71285,0.71703,0.77397,0.68298,0.48167,0.87342,1.0327,2.55513e-05,2.55513e-05,2.55513e-05
48,9015.96,0.39868,0.69697,1.02777,0.71202,0.7183,0.77367,0.68228,0.48129,0.87257,1.03246,1.87678e-05,1.87678e-05,1.87678e-05
49,9201.89,0.40112,0.70155,1.03262,0.71951,0.70934,0.77377,0.68268,0.48019,0.87157,1.03142,1.39032e-05,1.39032e-05,1.39032e-05
50,9387.69,0.39638,0.6857,1.02791,0.72128,0.71064,0.77362,0.68228,0.47913,0.87095,1.03045,1.09768e-05,1.09768e-05,1.09768e-05
